"Outcome","Emotion","Contrast","Parameter","Difference","CI_low","CI_high","pd","Credible","Effect"
"Authenticity","Negative - Low intensity","AI-Generated - Human Original","precleft",0.109584375,-0.5226742838,0.75509843685,0.62875,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Original","precright",-0.06176296,-0.484974265,0.3704593343,0.61,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Original","response",-0.0140873429695253,-0.0375720282838376,0.0106135467610572,0.868928571428571,FALSE,"n.s."
"Authenticity","Negative - Low intensity","Human Forgery - Human Original","confleft",0.00573825092787605,-0.0206797037905853,0.0327003717589208,0.667142857142857,FALSE,"n.s."
"Authenticity","Negative - Low intensity","Human Forgery - Human Original","confright",-0.00873784282355239,-0.0293559979067675,0.0119438705792646,0.797857142857143,FALSE,"n.s."
"Authenticity","Negative - Low intensity","Human Forgery - Human Original","mu",-0.0100678519461817,-0.0508140888256463,0.0320413715159465,0.673571428571429,FALSE,"n.s."
"Authenticity","Negative - Low intensity","Human Forgery - Human Original","precleft",0.3705857,-0.41740850675,1.28157150575,0.815892857142857,FALSE,"n.s."
"Authenticity","Negative - Low intensity","Human Forgery - Human Original","precright",0.2064189925,-0.2561341803,0.70009034175,0.809285714285714,FALSE,"n.s."
"Authenticity","Negative - Low intensity","Human Forgery - Human Original","response",-0.0093117352435812,-0.0329849615727456,0.0156518760696377,0.769107142857143,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","bex",0.0471925249822157,-0.0254581005947419,0.122808375324073,0.899285714285714,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","confleft",-0.00380437528177696,-0.0192001753517557,0.0109376350847531,0.6925,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","confright",-0.00619360904889171,-0.0171554342784037,0.00463964296022719,0.867857142857143,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","mu",0.0144810773424654,-0.00793270322001439,0.0358436346544118,0.901964285714286,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","pex",0.000365702275746957,-0.000939801115761419,0.00208643847695104,0.742678571428571,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","pmid",0.000571475791528658,-0.000139099323134162,0.00160969583148081,0.939464285714286,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","precleft",-0.0285195554499995,-0.564540879925,0.486269448518749,0.543571428571429,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","precright",-0.0703839520550003,-0.3750811172,0.23226820726875,0.68,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Forgery","response",0.00663526127268693,-0.00618749600049464,0.0193459541447013,0.847142857142857,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","bex",-0.00500256583978348,-0.0812246977457216,0.0695270467443226,0.558928571428571,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","confleft",-0.00206080569194284,-0.0165398444155248,0.0125443589329445,0.615535714285714,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","confright",-0.00810762238873675,-0.0181696212461123,0.00207416833845553,0.938035714285714,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","mu",-0.0203968818892625,-0.0412496434367386,7.07332548943776e-05,0.974285714285714,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","pex",0.000556860414482238,-0.000632097166840787,0.00236443952547128,0.844821428571429,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","pmid",0.000261710396667976,-0.000550334580780183,0.00122217700014188,0.74375,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","precleft",0.24581465125,-0.156075082275001,0.66534846987875,0.893571428571429,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","precright",0.137220933,-0.0977820056125001,0.407435167726874,0.868928571428571,FALSE,"n.s."
"Authenticity","Overall","AI-Generated - Human Original","response",-0.0134874060143441,-0.0255625244676493,-0.00123585189085003,0.98625,TRUE,"Negative"
"Authenticity","Overall","Human Forgery - Human Original","bex",-0.0538066552077958,-0.128661203085591,0.0233260105979749,0.916964285714286,FALSE,"n.s."
"Authenticity","Overall","Human Forgery - Human Original","confleft",0.0016375551556792,-0.0120098592005337,0.0156158491790935,0.592321428571429,FALSE,"n.s."
"Authenticity","Overall","Human Forgery - Human Original","confright",-0.00172269892665,-0.0119780232604727,0.00838112864318424,0.640357142857143,FALSE,"n.s."
"Authenticity","Overall","Human Forgery - Human Original","mu",-0.0349571958574484,-0.055445549499189,-0.013930096774475,0.999464285714286,TRUE,"Negative"
"Authenticity","Overall","Human Forgery - Human Original","pex",0.000182981181169121,-0.00110225139078895,0.00164443032103215,0.639642857142857,FALSE,"n.s."
"Authenticity","Overall","Human Forgery - Human Original","pmid",-0.000315982546140583,-0.0012075119168511,0.000457860054441785,0.812857142857143,FALSE,"n.s."
"Authenticity","Overall","Human Forgery - Human Original","precleft",0.27892543275,-0.1427579567375,0.746550380125,0.901071428571429,FALSE,"n.s."
"Authenticity","Overall","Human Forgery - Human Original","precright",0.204564635750001,-0.0373952461875005,0.488172250249999,0.947321428571429,FALSE,"n.s."
"Authenticity","Overall","Human Forgery - Human Original","response",-0.0202595951628911,-0.0322049052814797,-0.00789431686851275,0.999642857142857,TRUE,"Negative"
"Authenticity","Positive - High intensity","AI-Generated - Human Forgery","confleft",-0.0127820073698524,-0.0430378291645995,0.0165158089108036,0.805714285714286,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Forgery","confright",-0.0123651222407128,-0.0335893087384365,0.00774917440043511,0.881071428571429,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Forgery","mu",0.0435798301295933,5.31760358149072e-05,0.0902836407368867,0.975,TRUE,"Positive"
"Authenticity","Positive - High intensity","AI-Generated - Human Forgery","precleft",-0.295468278999999,-1.1360221338825,0.547994631275,0.765178571428571,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Forgery","precright",0.2921443596,-0.2834093275,0.854251716724999,0.847678571428571,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Forgery","response",0.0229521842869192,-0.00292339753532522,0.0501918808961943,0.956607142857143,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Original","confleft",0.00966363308227441,-0.0192948027776124,0.038160522790579,0.733035714285714,FALSE,"n.s."
