"Participant","Item","Gaze_Entropy","Gaze_Drift","Gaze_pLeft","Gaze_pCenter","Gaze_pTop","Gaze_nSamples"
"S004","50937.jpg",0.791259648525251,0.72995474085833,0.508474576271186,0.152542372881356,0.355932203389831,59
"S004","51208.jpg",0.857893145063486,0.264537496187061,0.230769230769231,0.230769230769231,0.846153846153846,52
"S004","51326.jpg",0.824038572065847,0.757979674859586,0.648648648648649,0.189189189189189,0.675675675675676,37
"S004","51328.jpg",0.776713051814544,0.0614135555364509,0.510204081632653,0.102040816326531,0.857142857142857,49
"S005","10130.jpg",0.796388061571227,0.249886122613529,0.438202247191011,0.876404494382023,0.561797752808989,89
"S005","10226.jpg",0.87558330686377,0.188310601348562,0.446153846153846,0.969230769230769,0.553846153846154,65
"S005","10601.jpg",0.834913925508109,0.225352615471539,0.571428571428571,0.476190476190476,0.53968253968254,63
"S005","10624.jpg",0.789657039444511,0.243225672578805,0.488372093023256,0.825581395348837,0.209302325581395,86
"S005","10648.jpg",0.805003233130342,0.296018755572657,0.977011494252874,0.206896551724138,0.229885057471264,87
"S005","11014.jpg",0.817677935540021,0.913038382213055,0.77027027027027,0.175675675675676,0.756756756756757,74
"S005","11016.jpg",0.751889981331418,0.611505928347378,0.965753424657534,0.335616438356164,0.506849315068493,146
"S005","11026.jpg",0.894847126644838,0.464347157433914,0.564102564102564,0.320512820512821,0.0641025641025641,78
"S005","11122.jpg",0.773734628623356,0.522384082867593,0.544117647058823,0.617647058823529,0.0588235294117647,68
"S005","11126.jpg",0.882783819667372,0.843376270630646,0.348484848484849,0.5,0.696969696969697,66
"S005","11127.jpg",0.812251798040372,0.253413965818615,0.821917808219178,0.376712328767123,0.0136986301369863,146
"S005","20127.jpg",0.675097655546109,0.199218424270781,1,0.00704225352112676,0,142
"S005","20501.jpg",0.830639904496918,0.255669671311991,0.87248322147651,0.516778523489933,0,149
"S005","20714.jpg",0.67896257099169,0.219307595975372,0.23448275862069,0.993103448275862,0,145
"S005","20718.jpg",0.83343129815973,0.0358343270416373,0.885906040268456,0.731543624161074,0.00671140939597315,149
"S005","21019.jpg",0.671919458371133,0.0501528189737389,0.992592592592593,0.0814814814814815,0,135
"S005","21022.jpg",0.594052627132854,0.57913754361588,0.775,0.65,0.35,40
"S005","30201.jpg",0.838139715724434,0.410964510745781,0.5,0.612903225806452,0.0564516129032258,124
"S005","30211.jpg",0.589090038929476,0.149973920501904,0.877862595419847,0.984732824427481,0.0152671755725191,131
"S005","30215.jpg",0.746117080912668,0.434755273672623,0.365671641791045,0.664179104477612,0.992537313432836,134
"S005","30403.jpg",0.81811471285345,0.460765758624303,0.82312925170068,0.380952380952381,0.789115646258503,147
"S005","30620.jpg",0.733305085598233,0.293414093025268,0.704545454545455,0.465909090909091,0.715909090909091,88
"S005","30622.jpg",0.710164689626818,0.144693996789613,0.821428571428571,0.0714285714285714,1,28
"S005","31006.jpg",0.741266773930639,0.192416105555665,0,0.1,1,20
"S005","40207.jpg",0.806708269674205,0.365888730693261,0.613138686131387,0.905109489051095,0.854014598540146,137
"S005","40224.jpg",0.592497504636657,0.209980565884989,0.873239436619718,0.204225352112676,0.161971830985915,142
"S005","40229.jpg",0.70340874323681,0.262425056693534,0.786516853932584,0.921348314606742,0.730337078651685,89
"S005","40309.jpg",0.795716434606424,0.404078110841969,1,0.140845070422535,0.147887323943662,142
"S005","40716.jpg",0.799175922634331,0.310272205431954,1,0.381944444444444,0.340277777777778,144
"S005","50815.jpg",0.837243944603459,0.688055570521671,0.676056338028169,0.626760563380282,0.00704225352112676,142
"S005","50937.jpg",0.670638182475229,0.116016291155464,1,0.120567375886525,0.0425531914893617,141
"S005","51208.jpg",0.646547700101253,0.233006645947828,0.891566265060241,0.325301204819277,0.132530120481928,83
"S005","51322.jpg",0.761984591682399,0.10526697767215,1,0.1875,0.0375,80
"S005","51323.jpg",0.730416678609333,0.199526781300005,0.831168831168831,0.441558441558442,0.428571428571429,77
"S005","51326.jpg",0.586433694081235,0.113978452661755,0.973333333333333,0.333333333333333,0.16,75
"S006","10130.jpg",0.86580191266243,0.289517235137726,0.171232876712329,0.561643835616438,0.280821917808219,146
"S006","10224.jpg",0.75145939610103,0.36792959326768,0.0821917808219178,0.691780821917808,0.636986301369863,146
"S006","10226.jpg",0.808590714690171,0.388707488564417,0.344827586206897,0.372413793103448,0.76551724137931,145
"S006","10229.jpg",0.87866314244564,0.354200798854408,0.226027397260274,0.267123287671233,0.602739726027397,146
"S006","10514.jpg",0.892211261799051,0.710292510576036,0.312925170068027,0.19047619047619,0.72108843537415,147
"S006","10601.jpg",0.70900500604945,0.336201085150969,0.376712328767123,0.883561643835616,0.212328767123288,146
"S006","10609.jpg",0.893959245864546,0.237747946540832,0.191489361702128,0.524822695035461,0.539007092198582,141
"S006","10624.jpg",0.788783405630887,0.208305447285913,0.761904761904762,0.993197278911565,0.326530612244898,147
"S006","10632.jpg",0.838062280710831,0.440045097305902,0.333333333333333,0.666666666666667,0.503401360544218,147
"S006","10648.jpg",0.854918941064942,0.67937283555607,0.348484848484849,0.227272727272727,0.742424242424242,132
"S006","11014.jpg",0.853505731488356,0.345040770141336,0.0753424657534247,0.506849315068493,0.554794520547945,146
"S006","11016.jpg",0.816195583982153,0.311634888259207,0.157534246575342,0.705479452054795,0.13013698630137,146
"S006","11026.jpg",0.83717386742865,0.240771950492524,0.458904109589041,0.438356164383562,0.5,146
"S006","11122.jpg",0.859742501647074,0.209837278611994,0.170068027210884,0.591836734693878,0.714285714285714,147
"S006","11126.jpg",0.801340960428461,0.415890734808262,0.246575342465753,0.397260273972603,0.513698630136986,146
"S006","11127.jpg",0.784258625858267,0.0520308903872004,0.205479452054795,1,0.835616438356164,146
"S006","20127.jpg",0.845581742209853,0.300470090740844,0.222222222222222,0.555555555555556,0.618055555555556,144
"S006","20501.jpg",0.809828258742817,0.237699230819595,0.612244897959184,0.829931972789116,0.462585034013605,147
"S006","20714.jpg",0.783367099097479,0.316874105847917,0.258503401360544,0.489795918367347,0.251700680272109,147
"S006","20718.jpg",0.735277954932016,0.40457573438531,0.578231292517007,0.761904761904762,0.17687074829932,147
"S006","21019.jpg",0.741289820229625,0.882684388634741,0.0763888888888889,0.0902777777777778,0.611111111111111,144
"S006","21022.jpg",0.857747755546229,0.24784913808467,0.204081632653061,0.727891156462585,0.401360544217687,147
"S006","30201.jpg",0.838128687078046,0.414917332142706,0.424460431654676,0.58273381294964,0.712230215827338,139
"S006","30211.jpg",0.855249213675843,0.305408676417848,0.136054421768707,0.353741496598639,0.428571428571429,147
"S006","30215.jpg",0.729061165874512,0.0857721504078741,0.0821917808219178,0.952054794520548,0.226027397260274,146
"S006","30403.jpg",0.543175717853952,0.314736582528188,0.398601398601399,0.727272727272727,0.125874125874126,143
"S006","30408.jpg",0.846044845614207,0.587694603827534,0.78169014084507,0.401408450704225,0.52112676056338,142
"S006","30620.jpg",0.839627042705447,0.149557232693091,0.979452054794521,0.520547945205479,0.513698630136986,146
"S006","30622.jpg",0.792904502743886,0.157551566337328,0.737931034482759,0.96551724137931,0.503448275862069,145
