"Model","Parameter","Contrast","At","Moderator","Median","CI_low","CI_high","pd","Table"
"BeautySRControl","confleft","Human Forgery - Human Original","Low",-0.227550940030373,2.50439307557241,-0.316578549925672,5.01005963419134,0.96375,"Gap"
"BeautySRControl","confleft","Human Forgery - Human Original","Average",0,2.37029441164328,0.270606903651127,4.27034035787572,0.98875,"Gap"
"BeautySRControl","confleft","Human Forgery - Human Original","High",0.227550940030373,2.22310225684654,-0.642772303578348,5.20980879247109,0.93425,"Gap"
"BeautySRControl","confleft","Human Forgery - Human Original","High - Low",NA,-0.322150355233372,-4.14993102077882,3.52309281695393,0.55525,"Gap"
"BeautySRControl","confleft","AI-Generated - Human Forgery","Low",-0.227550940030373,0.684350799606639,-1.99632585721556,3.50077776009061,0.68625,"Gap"
"BeautySRControl","confleft","AI-Generated - Human Forgery","Average",0,1.99373894655949,-0.162813286657726,4.06611284599622,0.965,"Gap"
"BeautySRControl","confleft","AI-Generated - Human Forgery","High",0.227550940030373,3.30295765033111,-0.00481148198128722,6.3996164274798,0.97475,"Gap"
"BeautySRControl","confleft","AI-Generated - Human Forgery","High - Low",NA,2.61780905735972,-1.50631548170187,6.74844461620991,0.882,"Gap"
"BeautySRControl","confleft","Human Original",NA,NA,-0.340997217220612,-0.994524747318482,0.270425701681842,0.85325,"SR slope"
"BeautySRControl","confleft","Human Forgery",NA,NA,-0.409282607439387,-1.10573521997259,0.305732438185102,0.8705,"SR slope"
"BeautySRControl","confleft","AI-Generated",NA,NA,0.168171583821458,-0.488634101887542,0.849223038108693,0.692,"SR slope"
"BeautySRControl","confleft","AI-Generated - Human Original",NA,NA,0.511473494125059,-0.373855245929311,1.33563564278411,0.8765,"SR slope"
"BeautySRControl","confleft","Human Forgery - Human Original",NA,NA,-0.070834623353222,-0.912065881205626,0.77430612677698,0.55525,"SR slope"
"BeautySRControl","confleft","AI-Generated - Human Forgery",NA,NA,0.575473994252951,-0.330098310856397,1.48447737472185,0.882,"SR slope"
"BeautySRControl","confleft","Human Original",NA,NA,-2.46605422239784,-3.25726960392317,-1.70968583480963,1,"Beauty2 slope"
"BeautySRControl","confleft","Human Forgery",NA,NA,-2.52857464597987,-3.35174058518901,-1.59503452164806,1,"Beauty2 slope"
"BeautySRControl","confleft","AI-Generated",NA,NA,-2.53394149074114,-3.31860274838492,-1.70356362098452,1,"Beauty2 slope"
"BeautySRControl","confleft","AI-Generated - Human Original",NA,NA,-0.0763054764065159,-0.893342481812337,0.756307518508564,0.56275,"Beauty2 slope"
"BeautySRControl","confleft","Human Forgery - Human Original",NA,NA,-0.064775695959937,-0.910815210833432,0.825570628159278,0.55725,"Beauty2 slope"
"BeautySRControl","confleft","AI-Generated - Human Forgery",NA,NA,-0.0109700639910226,-0.877375647943285,0.968735935827292,0.51025,"Beauty2 slope"
