"Participant","Item","RT","Recognition","PerceivedArtificiality","AnswerCondition","AnswerBelief","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion","Type","Belief"
"S120","30408.jpg",15.538,"Yes",NA,"Human Original","Human Original","Human Forgery",2,"Blue",1920,953,0.718333333333333,0.666666666666667,0.666666666666667,0.4,11,0.3,0.74,"Landscape","Realistic tendencies I. (19th century)","Romantic and Realism","Waldmüller, Ferdinand","View in the Prater",0.952380952380952,1,0.2875,0.704545454545454,0.833333333333333,0,0.666666666666667,0.668333333333333,"Positive - Low intensity","Old","AI Original"
"S120","10224.jpg",13.819,"Yes",NA,"Human Original","Human Original","AI-Generated",17,"Green",1920,953,0.288333333333333,0.166666666666667,0.666666666666667,0.2,43,0.75,0.705,"Scene","Baroque and Rococo","Classical","Ribera de, Jusepe","Martyrdom of Saint Philip",0.349206349206349,0.0833333333333334,0.7,0.806818181818182,0.333333333333333,0,0,0.181666666666667,"Negative - High intensity","Old","Human Original"
"S120","30716.jpg",10.091,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","10226.jpg",9.943,"No",-0.5,"Not recognized","Not recognized","Human Original",37,"Red",1920,953,0.271666666666667,0.166666666666667,0.833333333333333,0,13,0.705,0.635,"Scene","Baroque and Rococo","Classical","Velázquez, Diego","Apollo in the Forge of Vulcan",0.746031746031746,0.708333333333333,0.6125,0.784090909090909,0.5,0,0.166666666666667,0.246666666666667,"Positive - High intensity","Old","Human Original"
"S120","31017.jpg",10.285,"No",-0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","20608.jpg",9.81,"No",-0.5,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","30201.jpg",9.102,"No",-0.2,"Not recognized","Not recognized","AI-Generated",30,"Green",1920,953,0.643333333333333,0.5,0.333333333333333,0.2,27,0.32,0.21,"Landscape","Baroque and Rococo","Classical","Carracci, Annibale","River Landscape",1,0.875,0.225,0.784090909090909,0.916666666666667,0,0.666666666666667,0.478333333333333,"Positive - Low intensity","Old","AI Copy"
"S120","51204.jpg",11.781,"No",0.4,"Not recognized","Not recognized","AI-Generated",18,"Green",1920,953,0.641666666666667,0.666666666666667,0.333333333333333,0.2,48,0.63,0.27,"Abstract","Informel tendencies","Abstract and Avant-garde","Götz, Karl Otto","Giverny VII",0.666666666666667,0.736111111111111,0.9125,0.704545454545454,0.833333333333333,0,0.5,0.55,"Positive - High intensity","Old","Human Forgery"
"S120","41010.jpg",9.766,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","50928.jpg",9.392,"No",0.5,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
