"Parameter","At","Level","Median","CI_low","CI_high","pd"
"response",-0.2,"Human Original",1.12979553970166,0.470162794837803,1.76191873483034,0.99975
"response",-0.2,"Human Forgery",0.747970144658883,0.106490450749397,1.41185832076995,0.9895
"response",-0.2,"AI-Generated",0.608920633990595,0.0298991350027311,1.26403016684684,0.9715
"response",-0.2,"Human Forgery - Human Original",-0.383405282454952,-1.14885625441596,0.426001467002335,0.82625
"response",-0.2,"AI-Generated - Human Original",-0.523453687627629,-1.29506085050868,0.222432592094979,0.9085
"response",-0.2,"AI-Generated - Human Forgery",-0.143542236208494,-0.887798649644167,0.711489400048282,0.6435
"mu",-0.2,"Human Original",1.74931058126643,0.628447777315522,2.90597883277888,0.99925
"mu",-0.2,"Human Forgery",0.97503107236957,-0.131406130707057,2.15180108063417,0.9585
"mu",-0.2,"AI-Generated",0.704697954325095,-0.312908687433722,1.78281796136714,0.91025
"mu",-0.2,"Human Forgery - Human Original",-0.781229838417941,-2.21083721641602,0.540338340885183,0.85525
"mu",-0.2,"AI-Generated - Human Original",-1.03041268490117,-2.33724685905079,0.344408145536601,0.9385
"mu",-0.2,"AI-Generated - Human Forgery",-0.281766956792662,-1.69865605988551,1.10628397558687,0.657
"confright",-0.2,"Human Original",0.129505036179089,-0.405720576479363,0.737065562365191,0.6705
"confright",-0.2,"Human Forgery",0.420101253259364,-0.165517574976404,1.06008741257091,0.907
"confright",-0.2,"AI-Generated",0.0507651641841189,-0.504874521668808,0.647483152098616,0.574
"confright",-0.2,"Human Forgery - Human Original",0.27606233158417,-0.378530798362919,1.0208151589628,0.7905
"confright",-0.2,"AI-Generated - Human Original",-0.0760630715989086,-0.753254976200823,0.610303397307055,0.58875
"confright",-0.2,"AI-Generated - Human Forgery",-0.357690201587157,-1.10112939252693,0.365914724541172,0.82675
"confleft",-0.2,"Human Original",-0.749527161299335,-1.38078347609327,-0.160939240491431,0.9925
"confleft",-0.2,"Human Forgery",-0.510636926492614,-1.2316329693024,0.143121842713811,0.93025
"confleft",-0.2,"AI-Generated",-1.09513971645381,-1.75914952145839,-0.5017949812407,0.99975
"confleft",-0.2,"Human Forgery - Human Original",0.238876779280334,-0.585324078076321,1.02305513500323,0.71
"confleft",-0.2,"AI-Generated - Human Original",-0.344111847643047,-1.12870005794785,0.442586049805072,0.8095
